Glenn County (CA),17.8
Humboldt County (NV),9.4
Imperial County (CA),24.7
Inyo County (CA),11.9
Kern County (CA),18.6
Kings County (NY),21.4
Lake County (TN),29.0
Lassen County (CA),17.5
Los Alamos County (NM),2.7
Madera County (CA),20.9
Marin County (CA),5.9
Mariposa County (CA),13.0
Mendocino County (CA),14.7
Merced County (CA),20.3
Modoc County (CA),19.7
Mono County (CA),9.0
Monterey County (CA),12.9
Napa County (CA),7.1
Nevada County (CA),8.0
Orange County (VA),8.9
Placer County (CA),5.6
Plumas County (CA),11.1
Riverside County (CA),12.5
Sacramento County (CA),12.9
San Juan County (WA),8.7
San Juan County (WA),8.7
San Juan County (WA),8.7
San Juan County (WA),8.7
San Juan County (WA),8.7
San Juan County (WA),8.7
San Juan County (WA),8.7
